ID,NAME,Stream URL,Logo URL,Quality
etv,ETV,https://wowza1.leisertv.com/live/etvhd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/etv.png?raw=true,HD
kanal2,Kanal 2,https://wowza1.leisertv.com/live/kanal2hd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/kanal2.png?raw=true,HD
tv3,TV3,https://wowza1.leisertv.com/live/tv3hd.stream/playlist.m3u8,https://i.ibb.co/QNtp4WG/tv3.png?raw=true,HD
tv6,TV6,https://wowza1.leisertv.com/live/tv6hd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/tv6.png?raw=true,HD
etv2,ETV 2,https://wowza1.leisertv.com/live/etv2hd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/etv2.png?raw=true,HD
etvpluss,ETV +,https://wowza1.leisertv.com/live/etvplusshd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/etvpluss.png?raw=true,HD
kanal11,Kanal 11,https://wowza1.leisertv.com/live/kanal11hd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/kanal11.png?raw=true,HD
kanal12,Kanal 12,https://wowza1.leisertv.com/live/kanal12hd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/kanal12.png?raw=true,HD
eestikanal,Eesti Kanal,https://wowza1.leisertv.com/live/eestikanal.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/eestikanal.png?raw=true,
tv3life,TV3 Life,https://wowza1.leisertv.com/live/tv3life.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/tv3life.png?raw=true,
fox,FOX,https://wowza2.leisertv.com/live/fox.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/fox.png?raw=true,
foxlife,FOX Life,https://wowza2.leisertv.com/live/foxlife.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/foxlife.png?raw=true,
lifetv,Life TV,https://wowza2.leisertv.com/live/lifetv.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/lifetv.png?raw=true,
alotv,Alo TV,https://wowza1.leisertv.com/live/alotv.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/alotv.png?raw=true,
sony,Sony Channel,https://wowza1.leisertv.com/live/sonyhd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/sony.png?raw=true,HD
sonyturbo,Sony Turbo,https://wowza1.leisertv.com/live/sonyturbohd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/sonyturbo.png?raw=true,HD
skymovieswitness,Sky Movies Witness,https://wowza5.leisertv.com/live/skymovieswitnesshd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/skymovieswitness.png?raw=true,HD
viasatnature,Viasat Nature,https://wowza1.leisertv.com/live/viasatnature.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/viasatnature.png?raw=true,
history,History Channel,https://wowza1.leisertv.com/live/historyhd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/history.png?raw=true,HD
discovery,Discovery Channel,https://wowza2.leisertv.com/live/discovery.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/discovery.png?raw=true,
investigation,Investigation Discovery,https://wowza1.leisertv.com/live/investigation.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/investigation.png?raw=true,
bbcearth,BBC Earth,https://wowza5.leisertv.com/live/bbcearthhd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/bbcearth.png?raw=true,HD
crimeplusinv,Crime+Investigation,https://wowza5.leisertv.com/live/crimeplusinvhd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/crimeplusinv.png?raw=true,HD
tlc,TLC,https://wowza2.leisertv.com/live/tlc.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/tlc.png?raw=true,
animal,Animal Planet,https://wowza2.leisertv.com/live/animalhd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/animal.png?raw=true,HD
nationalgeo,National Geographic,https://wowza1.leisertv.com/live/nationalgeo.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/nationalgeo.png?raw=true,
natgeo,National Geographic HD,https://wowza1.leisertv.com/live/natgeohd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/natgeo.png?raw=true,HD
viahistory,Viasat History,https://wowza2.leisertv.com/live/viahistory.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/viahistory.png?raw=true,
viaexplore,Viasat Explore,https://wowza1.leisertv.com/live/viaexplorehd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/viaexplore.png?raw=true,HD
history2,History 2,https://wowza5.leisertv.com/live/history2hd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/history2.png?raw=true,HD
smartzone,Smart Zone,https://wowza1.leisertv.com/live/smartzone.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/smartzone.png?raw=true,
davincilearning,Da Vinci Learning,https://wowza1.leisertv.com/live/davincilearning.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/davincilearning.png?raw=true,
pingviiniukas,Pingviiniukas,https://wowza2.leisertv.com/live/pingviiniukas.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/pingviiniukas.png?raw=true,
ducktv,Duck TV,https://wowza1.leisertv.com/live/ducktvhd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/ducktv.png?raw=true,HD
babytv,Baby TV,https://wowza5.leisertv.com/live/babytv.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/babytv.png?raw=true,
kika,Kika TV,https://wowza5.leisertv.com/live/kika.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/kika.png?raw=true,
skyshowcase,Sky Showcase,https://wowza1.leisertv.com/live/skyshowcasehd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/skyshowcase.png?raw=true,HD
premiersport1,Premier Sport 1,https://wowza1.leisertv.com/live/premiersport1hd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/premiersport1.png?raw=true,HD
premiersport2,Premier Sport 2,https://wowza1.leisertv.com/live/premiersport2hd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/premiersport2.png?raw=true,HD
skysportscricket,Sky Sports Cricket,https://wowza1.leisertv.com/live/skysportscrickethd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/skysportscricket.png?raw=true,HD
cbbc,CBBC,https://wowza1.leisertv.com/live/cbbchd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/cbbc.png?raw=true,HD
cnn,CNN,https://wowza2.leisertv.com/live/cnn.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/cnn.png?raw=true,
cnbceurope,CNBC Europe,https://wowza5.leisertv.com/live/cnbceuropehd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/cnbceurope.png?raw=true,HD
euronews,Euronews,https://wowza5.leisertv.com/live/euronewshd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/euronews.png?raw=true,HD
bloombergtv,Bloomberg TV,https://wowza2.leisertv.com/live/bloombergtv.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/bloombergtv.png?raw=true,
bbc,BBC World News,https://wowza1.leisertv.com/live/bbc.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/bbc.png?raw=true,
kidszone,Kids Zone,https://wowza2.leisertv.com/live/kidszone.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/kidszone.png?raw=true,
kidzonemini,Kids Zone Mini,https://wowza1.leisertv.com/live/kidzoneminihd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/kidzonemini.png?raw=true,HD
nickelodeon,Nickelodeon,https://wowza2.leisertv.com/live/nickelodeon.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/nickelodeon.png?raw=true,
cartoon,Cartoon Network,https://wowza2.leisertv.com/live/cartoon.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/cartoon.png?raw=true,
cbeebies,CBeebies,https://wowza5.leisertv.com/live/cbeebieshd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/cbeebies.png?raw=true,HD
disneychannel,Disney Channel,https://wowza1.leisertv.com/live/disneychannel.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/disneychannel.png?raw=true,
disneyjunior,Disney Junior,https://wowza1.leisertv.com/live/disneyjunior.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/disneyjunior.png?raw=true,
skykidsf,Sky Kids,https://wowza5.leisertv.com/live/skykidsfhd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/skykidsf.png?raw=true,HD
nickjrf,Nick Jr.,https://wowza5.leisertv.com/live/nickjrfhd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/nickjrf.png?raw=true,HD
boomerangf,Boomerang,https://wowza1.leisertv.com/live/boomerangfhd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/boomerangf.png?raw=true,HD
filmzone,Film Zone,https://wowza2.leisertv.com/live/filmzone.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/filmzone.png?raw=true,
filmzoneplus,Film Zone Plus,https://wowza2.leisertv.com/live/filmzoneplus.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/filmzoneplus.png?raw=true,
tv1000,TV1000,https://wowza2.leisertv.com/live/tv1000.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/tv1000.png?raw=true,
